,Event_Name,Check_Event,NPC_Name,Required_Events,Required_Events_Or_1,Required_Events_Or_2,Required_Events_And_1,Required_Events_And_2,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Completed
676,act2_sc2_set13,TRUE,Engrossed person,act2_sc2_set13,,,,,Set:Engrossed person 2,Event:act2_sc2_set14,Event:act2_sc2_set15,Event:act2_sc2_set16,,,,
677,act2_sc2_set14,TRUE,Man who knows you,act2_sc2_set14,,,,,Set:Man who knows you 2,Event:act2_sc2_set17,Event:act2_sc2_set18,,,,,
678,act2_sc2_set15,TRUE,Indecisive woman,act2_sc2_set15,,,,,Set:Indecisive woman 2,,,,,,,
679,act2_sc2_set16,TRUE,Last fisherman,act2_sc2_set16,,,,,Set:last fisherman 2 1,,,,,,,
680,act2_sc2_set17,TRUE,Sifu1,act2_sc2_set17,,,,,Set:sifu1 act2,,,,,,,
681,act2_sc2_set18,TRUE,Guard pacing at gate,act2_sc2_set18,,,,,Set:Guard pacing at gate 2,,,,,,,
682,refugee huddle2 3,TRUE,Refugee Man,refugee huddle2 3,,,,,Set:refugee huddle2 4,,,,,,,
683,refugee huddle2 4,TRUE,Refugee Man,refugee huddle2 4,,,,,Set:refugee huddle2 5,Quest_Start:quest canyons2,,,,,,
684,last fisherman 2 1,TRUE,Last fisherman,last fisherman 2 1,,,,,Quest_Completed:quest revisit riverbend town 2,Event:revisit5,,,,,,
685,xroad1_cleared,TRUE,Raider_xroad1post,xroad1_cleared,,,,,Call:defeat_hide,Event:lake_camera_cue27,Event:xroad1_cleared1,,,,,
686,xroad1_cleared1,TRUE,Raider_xroad1,xroad1_cleared1,,,,,Call:defeat_hide,,,,,,,
687,xroad1_bandits_hide,TRUE,Tutorial,xroad1_bandits_hide,,,,,Event:Ally_xroad1fight_hide,Event:listen_xroad1_hide,Event:listen_xroad2_hide,Event:Ally_xroad1_hide,,,,
688,ally_xroad1post,TRUE,Ally_xroad1post,ally_xroad1post,,,,,Quest_Completed:quest fight at xroad2,Event:lake_camera_cue28,Event:act2_bandits12,Call:Wait=0.25|Event=Ally_xroad1post_hide,,,,
689,ruin_bandits_found,TRUE,Tutorial,ruin_bandits_found,,,,,Quest_Completed:quest revisit ruin town 2,Event:act2_bandits12,,,,,,
690,act2_bandits12,TRUE,Tutorial,act2_bandits12,,,ally_xroad1post,ruin_bandits_found,Event:act2_bandits_complete,,,,,,,
691,sifu1 act2,TRUE,Sifu1,sifu1 act2,,,,,Quest_Completed:quest revisit lake dojo 2,Event:revisit12,Quest_Start:quest training act2 1,Event:sifu1_area1_all,Event:lake_camera_cue35,,,
692,sifu1_area1_all,TRUE,Sifu1_area1,sifu1_area1_all,,,,,Event:sifu1_area1_air,Event:sifu1_area1_earth,Event:sifu1_area1_fire,,,,,
693,sifu1_area1_air,TRUE,Sifu1_area1,sifu1_area1_air,,,,primary_element_Air,Set:sifu1 sparring area 1 air,,,,,,,
694,sifu1_area1_earth,TRUE,Sifu1_area1,sifu1_area1_earth,,,,primary_element_Earth,Set:sifu1 sparring area 1 earth,,,,,,,
695,sifu1_area1_fire,TRUE,Sifu1_area1,sifu1_area1_fire,,,,primary_element_Fire,Set:sifu1 sparring area 1 fire,,,,,,,
696,sifu1 sparring area 1 air,TRUE,Sifu1_area1,sifu1 sparring area 1 air,,,,,Quest_Completed:quest training act2 1,Quest_Start:quest training act2 2,Event:sifu1_area1b,Event:Sifu1Training#Event_Action=SetAssist_assist air attack,,,,
697,sifu1 sparring area 1 earth,TRUE,Sifu1_area1,sifu1 sparring area 1 earth,,,,,Quest_Completed:quest training act2 1,Quest_Start:quest training act2 2,Event:sifu1_area1b,Event:Sifu1Training#Event_Action=SetAssist_assist earth attack,,,,
698,sifu1 sparring area 1 fire,TRUE,Sifu1_area1,sifu1 sparring area 1 fire,,,,,Quest_Completed:quest training act2 1,Quest_Start:quest training act2 2,Event:sifu1_area1b,Event:Sifu1Training#Event_Action=SetAssist_assist fire attack,,,,
699,sifu1_area1b,TRUE,Sifu1_area1,sifu1_area1b,,,,,Set:sifu1 sparring area 2,,,,,,,
700,sifu1 sparring area 2,TRUE,Sifu1_area2,sifu1 sparring area 2,,,,,Quest_Completed:quest training act2 2,Quest_Start:quest training act2 3,Event:sifu1_area2_all,Event:lake_camera_cue36,,,,
701,sifu1_area2_all,TRUE,Sifu1_area2,sifu1_area2_all,,,,,Event:sifu1_area2_air,Event:sifu1_area2_earth,Event:sifu1_area2_fire,,,,,
702,sifu1_area2_air,TRUE,Sifu1_area2,sifu1_area2_air,,,,primary_element_Air,Set:sifu1 sparring area 2 air,,,,,,,
703,sifu1_area2_earth,TRUE,Sifu1_area2,sifu1_area2_earth,,,,primary_element_Earth,Set:sifu1 sparring area 2 earth,,,,,,,
704,sifu1_area2_fire,TRUE,Sifu1_area2,sifu1_area2_fire,,,,primary_element_Fire,Set:sifu1 sparring area 2 fire,,,,,,,
705,sifu1 sparring area 2 air,TRUE,Sifu1_area2,sifu1 sparring area 2 air,,,,,Quest_Completed:quest training act2 3,Quest_Start:quest training act2 4,Set:sifu1 sparring area 3 air,,,,,
706,sifu1 sparring area 2 earth,TRUE,Sifu1_area2,sifu1 sparring area 2 earth,,,,,Quest_Completed:quest training act2 3,Quest_Start:quest training act2 4,Set:sifu1 sparring area 3 earth,,,,,
707,sifu1 sparring area 2 fire,TRUE,Sifu1_area2,sifu1 sparring area 2 fire,,,,,Quest_Completed:quest training act2 3,Quest_Start:quest training act2 4,Set:sifu1 sparring area 3 fire,,,,,
708,sifu1 sparring area 3 air,TRUE,Sifu1_area2,sifu1 sparring area 3 air,,,,,Set:sifu1 sparring area 3,Call:Wait=0.25|Event=sifu1_level_up_air,,,,,,
709,sifu1 sparring area 3 earth,TRUE,Sifu1_area2,sifu1 sparring area 3 earth,,,,,Set:sifu1 sparring area 3,Call:Wait=0.25|Event=sifu1_level_up_earth,,,,,,
710,sifu1 sparring area 3 fire,TRUE,Sifu1_area2,sifu1 sparring area 3 fire,,,,,Set:sifu1 sparring area 3,Call:Wait=0.25|Event=sifu1_level_up_fire,,,,,,
711,sifu1_level_up_air,TRUE,Tutorial,sifu1_level_up_air,,,,,Set_Narrator:narrator shrine_lt4,Event:NarratorSifu1LevelUp1#Event_Action=Cue_Narrator_Dialogue,Add_Level:air_skill,Add_Level:air_skill,Add_Level:air_skill,Add_Level:air_skill,,
712,sifu1_level_up_earth,TRUE,Tutorial,sifu1_level_up_earth,,,,,Set_Narrator:narrator shrine_lt4,Event:NarratorSifu1LevelUp2#Event_Action=Cue_Narrator_Dialogue,Add_Level:earth_skill,Add_Level:earth_skill,Add_Level:earth_skill,Add_Level:earth_skill,,
713,sifu1_level_up_fire,TRUE,Tutorial,sifu1_level_up_fire,,,,,Set_Narrator:narrator shrine_lt4,Event:NarratorSifu1LevelUp3#Event_Action=Cue_Narrator_Dialogue,Add_Level:fire_skill,Add_Level:fire_skill,Add_Level:fire_skill,Add_Level:fire_skill,,
714,sifu1 sparring area 3,TRUE,Sifu1_area2,sifu1 sparring area 3,,,,,Quest_Completed:quest training act2 4,Quest_Start:quest training act2 5,Event:lake_camera_cue37,Event:Sifu1_TrainingEnd1#Event_Action=EndAssist,,,,
715,sifu1a2_hide,TRUE,Sifu1_area3,sifu1a2_hide,,,,,Call:Wait=2|Event=prompt_sparring,,,,,,,
716,prompt_sparring,TRUE,Sifu1_area3,prompt_sparring,,,,,Call:npc_combat_start,Call:Wait=20|Event=Sifu1_Spar_End,Unprompted_Dialogue:NULL,,,,,
717,sifu1 sparring area 4,TRUE,Sifu1_area3,sifu1 sparring area 4,,,,,Quest_Completed:quest training act2 5,Quest_Start:quest training act2 5,Event:sifu1_spar1,Event:sifu1_spar2,,,,
718,sifu1_spar1,TRUE,Sifu1_area3,sifu1_spar1,,,,,,,,,,,,
719,Sifu1_Spar_End,TRUE,Sifu1_area3,Sifu1_Spar_End,,,,,Call:npc_combat_stop,Quest_Completed:quest training act2 6,Quest_Start:quest training act2 7,Event:lake_camera_cue38,,,,
720,sifu1 sparring area 5,TRUE,Tutorial,sifu1 sparring area 5,,,,,Event:lake_camera_cue39,,,,,,,
721,dojo_clothes,TRUE,Tutorial,dojo_clothes,,,,,Set_Costume:act2,Event:dojo_clothes1,,,,,,
722,dojo_clothes1,TRUE,Sifu1_area3b,dojo_clothes1,,,,,Set:sifu1 sparring area 6,,,,,,,
723,sifu1 sparring area 6,TRUE,Sifu1_area3b,sifu1 sparring area 6,,,,,Set:sifu1 sparring area 7,Event:dojo_clothes2,,,,,,
724,dojo_clothes2,TRUE,Tutorial,dojo_clothes2,,,,,Set_Narrator:narrator mage armor,Event:NarratorMageArmor#Event_Action=Cue_Narrator_Dialogue,Add_Level:defense_strength,,,,,
725,sifu1 sparring area 7,TRUE,Tutorial,sifu1 sparring area 7,,,,,Event:lake_camera_cue40,Quest_Completed:quest training act2 7,,,,,,
726,Guard pacing at gate 2,TRUE,Guard pacing at gate,Guard pacing at gate 2,,,,,Quest_Completed:quest revisit mountain town 2,Event:revisit12,,,,,,
727,mayor3 exile post3,TRUE,Mayor3,mayor3 exile post3,,,,,Quest_Completed:quest revisit plateau town 2,Event:revisit34,,,,,,
728,innkeeper4,TRUE,Innkeeper,innkeeper4,,,,,Quest_Completed:quest revisit river town 2,Event:revisit34,,,,,,
729,crossing_farmer2_hide,TRUE,Last fisherman,crossing_farmer2_hide,,,,,Set:last fisherman 2 2,,,,,,,
730,last fisherman 2 2,TRUE,Last fisherman,last fisherman 2 2,,,,,Quest_Completed:quest revisit riverbend town 2,Event:revisit5,,,,,,
731,selector_finished,TRUE,Tutorial,selector_finished,,,,,Event:crossing_farmer_reveal,,,,,,,
732,crossing farmer 2,TRUE,Tutorial,crossing farmer 2,,,,,Event:river_camera_cue4,Quest_Completed:quest revisit riverbend town 2,Event:revisit5,,,,,
733,river_camera_cue3_post,TRUE,Tutorial,river_camera_cue3_post,,,,,Event:river_camera_cue3_destroy,,,,,,,
734,river_camera_cue4_post,TRUE,Tutorial,river_camera_cue4_post,,,,,Event:river_camera_cue4_destroy,,,,,,,
735,revisit12,TRUE,Tutorial,revisit12,,,sifu1 act2,Guard pacing at gate 2,Event:revisit1234a,,,,,,,
736,revisit34,TRUE,Tutorial,revisit34,,,innkeeper4,mayor3 exile post3,Event:revisit1234b,,,,,,,
737,revisit1234a,TRUE,Tutorial,revisit1234a,,,,revisit1234b,Event:revisit1234c,,,,,,,
738,revisit1234c,TRUE,Tutorial,revisit1234c,,,,revisit5,Event:revisit12345,,,,,,,
739,revisit12345,TRUE,Mayor2,revisit12345,,,,act2_bandits_complete,Event:act2_tasks_complete,Quest_Start:quest act2_end,Set:mayor2 act2 end,,,,,
740,mayor2 act2 end,TRUE,Mayor2,mayor2 act2 end,,,,,Quest_Completed:quest act2_end,Quest_Start:quest gather for raid,Event:act2_sc2_end,,,,,
741,bridge1_cleared,TRUE,Raider_road1,bridge1_cleared,,,,,Call:defeat_hide,Event:forest_camera_cue24,,,,,,
742,bridge1_hide,TRUE,Tutorial,bridge1_hide,,,,,Event:listen_bridge1_hide,,,,,,,
743,bridge2_cleared,TRUE,Tutorial,bridge2_cleared,,,,,Event:forest_camera_cue25,ADD CALL DEFEAT,,,,,,
744,bridge2_hide,TRUE,Tutorial,bridge2_hide,,,,,Event:listen_bridge2_hide,,,,,,,
745,forest1_cleared,TRUE,Raider_forest6post,forest1_cleared,,,,,Call:defeat_hide,Event:forest_camera_cue20,Event:forest1_cleared1,,,,,
746,forest1_cleared1,TRUE,Raider_forest6,forest1_cleared1,,,,,Call:defeat_hide,,,,,,,
747,forest1_hide,TRUE,Tutorial,forest1_hide,,,,,Event:listen_forest1_hide,,,,,,,
748,forest2_cleared,TRUE,Tutorial,forest2_cleared,,,,,Event:forest2_hide,,,,,,,
749,forest2_hide,TRUE,Tutorial,forest2_hide,,,,,Event:listen_forest2_hide,,,,,,,
750,farm1_cleared,TRUE,Raider_farm1post,farm1_cleared,,,,,Call:defeat_hide,Event:forest_camera_cue23,Event:farm1_cleared1,,,,,
751,farm1_cleared1,TRUE,Raider_farm1,farm1_cleared1,,,,,Call:defeat_hide,,,,,,,
752,farm1_hide,TRUE,Tutorial,farm1_hide,,,,,Event:listen_farm1_hide,Event:listen_farm2_hide,,,,,,
753,ruins1_cleared,TRUE,Raider_ruins1post,ruins1_cleared,,,,,Call:defeat_hide,Event:forest_camera_cue28,Event:ruins1_cleared1,,,,,
754,ruins1_cleared1,TRUE,Raider_ruins1,ruins1_cleared1,,,,,Call:defeat_hide,,,,,,,
755,ruins1_hide,TRUE,Tutorial,ruins1_hide,,,,,Event:listen_ruins1_hide,Event:listen_ruins2_hide,,,,,,
756,riverbend1_cleared,TRUE,Raider_forest1post,riverbend1_cleared,,,,,Call:defeat_hide,Event:forest_camera_cue27,Event:riverbend1_cleared1,,,,,
757,riverbend1_cleared1,TRUE,Raider_forest1,riverbend1_cleared1,,,,,Call:defeat_hide,,,,,,,
758,riverbend1_hide,TRUE,Tutorial,riverbend1_hide,,,,,Event:listen_riverbend1_hide,Event:listen_riverbend2_hide,,,,,,
759,pass1_cleared,TRUE,Raider_pass14,pass1_cleared,,,,,Call:defeat_hide,Event:forest_camera_cue26,,,,,,
760,pass1_hide,TRUE,Tutorial,pass1_hide,,,,,Quest_Line_Strike:quest clear the way=1,,,,,,,
761,pass3_cleared,TRUE,Raider_pass7,pass3_cleared,,,,,Call:defeat_hide,Event:fishing_camera_cue7,,,,,,
762,pass3_hide,TRUE,Tutorial,pass3_hide,,,,,Quest_Line_Strike:quest clear the way=2,,,,,,,
763,fishing1_cleared,TRUE,Raider_fishing1,fishing1_cleared,,,,,Call:defeat_hide,Event:fishing_camera_cue5,,,,,,
764,fishing1_hide,TRUE,Tutorial,fishing1_hide,,,,,,,,,,,,
765,fishing2_cleared,TRUE,Raider_fishing5,fishing2_cleared,,,,,Call:defeat_hide,Event:fishing_camera_cue6,,,,,,
766,fishing2_hide,TRUE,Tutorial,fishing2_hide,,,,,,,,,,,,
767,road1_cleared,TRUE,Tutorial,road1_cleared,,,,,Event:forest_camera_cue22,ADD CALL DEFEAT,,,,,,
768,road1_hide,TRUE,Tutorial,road1_hide,,,,,,,,,,,,
769,path1_cleared,TRUE,Tutorial,path1_cleared,,,,,Event:fishing_camera_cue8,ADD CALL DEFEAT,,,,,,
770,path1_hide,TRUE,Tutorial,path1_hide,,,,,,,,,,,,
771,path2_cleared,TRUE,Tutorial,path2_cleared,,,,,Event:fishing_camera_cue9,ADD CALL DEFEAT,,,,,,
772,path2_hide,TRUE,Tutorial,path2_hide,,,,,Event:bandits_canyon23,,,,,,,
773,path3_cleared,TRUE,Tutorial,path3_cleared,,,,,Event:fishing_camera_cue10,ADD CALL DEFEAT,,,,,,
774,path3_hide,TRUE,Tutorial,path3_hide,,,,,Event:bandits_canyon23,,,,,,,
775,bandits_canyon23,TRUE,Tutorial,bandits_canyon23,,,path2_cleared,path3_cleared,Quest_Completed:quest canyons2,Event:paths23_hide,,,,,,
776,listen_xroad1_start,TRUE,listen_xroad1,listen_xroad1_start,,,,,Event:raider_xroad_camera_cue1,,,,,,,
777,listen_xroad2_start,TRUE,listen_xroad2,listen_xroad2_start,,,,,Event:raider_xroad_camera_cue2,,,,,,,
778,raider_xroad_camera_cue1,TRUE,listen_xroad1,raider_xroad_camera_cue1,,,,,Unprompted_Dialogue:NULL,,,,,,,
779,listen_xroad1,TRUE,Raider_xroad1,listen_xroad1,,,,,Event:raider_xroad_camera_cue3,Call:Wait=0.1|Event=listen_xroad1_hide,,,,,,
780,raider_xroad_camera_cue2,TRUE,listen_xroad2,raider_xroad_camera_cue2,,,,,Unprompted_Dialogue:NULL,,,,,,,
781,listen_xroad2,TRUE,listen_xroad2,listen_xroad2,,,,,Event:raider_xroad_camera_cue4,,,,,,,
782,signal_xroad1,TRUE,Raider_xroad1post,signal_xroad1,,,,,Event:raider_xroad_camera_cue5,Call:Wait=0.1|Event=listen_xroad1_return,,,,,,
783,listen_xroad1_return,TRUE,listen_xroad1,listen_xroad1_return,,,,,Event:listen_xroad1_hide,,,,,,,
784,listen_bridge1_start,TRUE,listen_bridge1,listen_bridge1_start,,,,,Unprompted_Dialogue:NULL,,,,,,,
785,listen_bridge1,TRUE,listen_bridge1,listen_bridge1,,,,,Event:listen_bridge1_hide,,,,,,,
786,listen_bridge2_start,TRUE,listen_bridge2,listen_bridge2_start,,,,,Unprompted_Dialogue:NULL,,,,,,,
787,listen_bridge2,TRUE,listen_bridge2,listen_bridge2,,,,,Event:listen_bridge2_hide,,,,,,,
788,listen_road1_start,TRUE,listen_road1,listen_road1_start,,,,,Unprompted_Dialogue:NULL,,,,,,,
789,listen_road1,TRUE,listen_road1,listen_road1,,,,,Event:listen_road1_hide,,,,,,,
790,listen_path1_start,TRUE,listen_path1,listen_path1_start,,,,,Unprompted_Dialogue:NULL,,,,,,,
791,listen_path1,TRUE,listen_path1,listen_path1,,,,,Event:listen_path1_hide,,,,,,,
792,listen_path2_start,TRUE,listen_path2,listen_path2_start,,,,,Unprompted_Dialogue:NULL,,,,,,,
793,listen_path2,TRUE,listen_path2,listen_path2,,,,,Event:listen_path2_hide,,,,,,,
794,listen_path3_start,TRUE,listen_path3,listen_path3_start,,,,,Unprompted_Dialogue:NULL,,,,,,,
795,listen_path3,TRUE,listen_path3,listen_path3,,,,,Event:listen_path3_hide,,,,,,,
796,listen_dojo1_start,TRUE,listen_dojo1,listen_dojo1_start,,,,,Unprompted_Dialogue:NULL,,,,,,,
797,listen_dojo1,TRUE,listen_dojo1,listen_dojo1,,,,,Event:listen_dojo1_hide,,,,,,,
798,listen_riverbend1_start,TRUE,listen_riverbend1,listen_riverbend1_start,,,,,Event:raider_riverbend_camera_cue1,,,,,,,
799,listen_riverbend2_start,TRUE,listen_riverbend2,listen_riverbend2_start,,,,,Event:raider_riverbend_camera_cue2,,,,,,,
800,raider_riverbend_camera_cue1,TRUE,listen_riverbend1,raider_riverbend_camera_cue1,,,,,Unprompted_Dialogue:NULL,,,,,,,
801,listen_riverbend1,TRUE,Raider_forest1,listen_riverbend1,,,,,Event:raider_riverbend_camera_cue3,Call:Wait=0.1|Event=listen_riverbend1_hide,,,,,,
802,raider_riverbend_camera_cue2,TRUE,listen_riverbend2,raider_riverbend_camera_cue2,,,,,Unprompted_Dialogue:NULL,,,,,,,
803,listen_riverbend2,TRUE,listen_riverbend2,listen_riverbend2,,,,,Event:raider_riverbend_camera_cue4,,,,,,,
804,signal_riverbend1,TRUE,Raider_forest1post,signal_riverbend1,,,,,Event:raider_riverbend_camera_cue5,Call:Wait=0.1|Event=listen_riverbend1_return,,,,,,
805,listen_riverbend1_return,TRUE,listen_riverbend1,listen_riverbend1_return,,,,,Event:listen_riverbend1_hide,,,,,,,
806,listen_forest1_start,TRUE,listen_forest1,listen_forest1_start,,,,,Event:raider_forest_camera_cue1,,,,,,,
807,raider_forest_camera_cue1,TRUE,listen_forest1,raider_forest_camera_cue1,,,,,Unprompted_Dialogue:NULL,,,,,,,
808,listen_forest1,TRUE,Raider_forest6,listen_forest1,,,,,Event:raider_forest_camera_cue2,Call:Wait=0.1|Event=listen_forest1_hide,,,,,,
809,signal_forest1,TRUE,Raider_forest6post,signal_forest1,,,,,Event:raider_forest_camera_cue3,Call:Wait=0.1|Event=listen_forest1_return,,,,,,
810,listen_forest1_return,TRUE,listen_forest1,listen_forest1_return,,,,,Event:listen_forest1_hide,,,,,,,
811,listen_farm1,TRUE,listen_farm1,listen_farm1,,,,,Event:listen_farm1_hide,,,,,,,
812,listen_farm2,TRUE,listen_farm2,listen_farm2,,,,,Event:listen_farm2_hide,,,,,,,
813,listen_forest2_start,TRUE,listen_forest2,listen_forest2_start,,,,,Event:raider_forest2_camera_cue1,,,,,,,
814,raider_forest2_camera_cue1,TRUE,listen_forest2,raider_forest2_camera_cue1,,,,,Unprompted_Dialogue:NULL,,,,,,,
815,listen_forest2,TRUE,listen_forest2,listen_forest2,,,,,Event:raider_forest2_camera_cue2,Call:Wait=0.1|Event=listen_forest2_hide,,,,,,
816,listen_ruins1_start,TRUE,listen_ruins1,listen_ruins1_start,,,,,Event:raider_ruins_camera_cue1,,,,,,,
817,listen_ruins2_start,TRUE,listen_ruins2,listen_ruins2_start,,,,,Event:raider_ruins_camera_cue2,,,,,,,
818,raider_ruins_camera_cue1,TRUE,listen_ruins1,raider_ruins_camera_cue1,,,,,Unprompted_Dialogue:NULL,,,,,,,
819,listen_ruins1,TRUE,Raider_ruins1,listen_ruins1,,,,,Event:raider_ruins_camera_cue3,Call:Wait=0.1|Event=listen_ruins1_hide,,,,,,
820,raider_ruins_camera_cue2,TRUE,listen_ruins2,raider_ruins_camera_cue2,,,,,Unprompted_Dialogue:NULL,,,,,,,
821,listen_ruins2,TRUE,listen_ruins2,listen_ruins2,,,,,Event:raider_ruins_camera_cue4,,,,,,,
822,signal_ruins1,TRUE,Raider_ruins1post,signal_ruins1,,,,,Event:raider_ruins_camera_cue5,Call:Wait=0.1|Event=listen_ruins1_return,,,,,,
823,listen_ruins1_return,TRUE,listen_ruins1,listen_ruins1_return,,,,,Event:listen_ruins1_hide,,,,,,,
824,listen_pass1_start,TRUE,listen_pass1,listen_pass1_start,,,,,Event:raider_pass1_camera_cue1,,,,,,,
825,listen_pass2_start,TRUE,listen_pass2,listen_pass2_start,,,,,Event:raider_pass1_camera_cue2,,,,,,,
826,raider_pass1_camera_cue1,TRUE,listen_pass1,raider_pass1_camera_cue1,,,,,Unprompted_Dialogue:NULL,,,,,,,
827,listen_pass1,TRUE,Raider_pass1,listen_pass1,,,,,Event:raider_pass1_camera_cue3,Call:Wait=0.1|Event=listen_pass1_hide,,,,,,
828,raider_pass1_camera_cue2,TRUE,listen_pass2,raider_pass1_camera_cue2,,,,,Unprompted_Dialogue:NULL,,,,,,,
829,listen_pass2,TRUE,listen_pass2,listen_pass2,,,,,Event:raider_pass1_camera_cue4,,,,,,,
830,listen_pass3_start,TRUE,listen_pass3,listen_pass3_start,,,,,Event:raider_pass2_camera_cue1,,,,,,,
831,raider_pass2_camera_cue1,TRUE,listen_pass3,raider_pass2_camera_cue1,,,,,Unprompted_Dialogue:NULL,,,,,,,
832,listen_pass3,TRUE,listen_pass3,listen_pass3,,,,,Event:raider_pass2_camera_cue2,,,,,,,
833,listen_swamp1_start,TRUE,listen_swamp1,listen_swamp1_start,,,,,Unprompted_Dialogue:NULL,,,,,,,
834,listen_swamp1,TRUE,listen_swamp1,listen_swamp1,,,,,Event=listen_swamp1_hide,,,,,,,
835,listen_fishing1_start,TRUE,listen_fishing1,listen_fishing1_start,,,,,Unprompted_Dialogue:NULL,,,,,,,
836,listen_fishing1,TRUE,listen_fishing1,listen_fishing1,,,,,Event:listen_fishing1_hide,,,,,,,
837,listen_fishing2_start,TRUE,listen_fishing2,listen_fishing2_start,,,,,Unprompted_Dialogue:NULL,,,,,,,
838,listen_fishing2,TRUE,listen_fishing2,listen_fishing2,,,,,Event:listen_fishing2_hide,,,,,,,
839,listen_turnaway1,TRUE,listen_turnaway1,listen_turnaway1,,,,,Event:listen_turnaway1_hide,,,,,,,
840,listen_turnaway2,TRUE,listen_turnaway2,listen_turnaway2,,,,,Event:listen_turnaway2_hide,,,,,,,
841,Ally_wounded1_healed,TRUE,Ally_wounded1,Ally_wounded1_healed,,,,,Set:Ally_wounded1 post,,,,,,,
842,Ally_wounded2_healed,TRUE,Ally_wounded2,Ally_wounded2_healed,,,,,Set:Ally_wounded2 post,,,,,,,
843,Ally_wounded3_healed,TRUE,Ally_wounded3,Ally_wounded3_healed,,,,,Set:Ally_wounded3 post,,,,,,,
844,Ally_wounded4_healed,TRUE,Ally_wounded4,Ally_wounded4_healed,,,,,Set:Ally_wounded4 post,,,,,,,
845,Ally_wounded5_healed,TRUE,Ally_wounded5,Ally_wounded5_healed,,,,,Set:Ally_wounded5 post,,,,,,,
846,Ally_wounded6_healed,TRUE,Ally_wounded6,Ally_wounded6_healed,,,,,Set:Ally_wounded6 post,,,,,,,
847,Ally_wounded7_healed,TRUE,Ally_wounded7,Ally_wounded7_healed,,,,,Set:Ally_wounded7 post,,,,,,,
848,Ally_wounded8_healed,TRUE,Ally_wounded8,Ally_wounded8_healed,,,,,Set:Ally_wounded8 post,,,,,,,
849,Ally_wounded9_healed,TRUE,Ally_wounded9,Ally_wounded9_healed,,,,,Set:Ally_wounded9 post,,,,,,,
850,Ally_wounded10_healed,TRUE,Ally_wounded10,Ally_wounded10_healed,,,,,Set:Ally_wounded10 post,,,,,,,
851,Ally_wounded11_healed,TRUE,Ally_wounded11,Ally_wounded11_healed,,,,,Set:Ally_wounded11 post,,,,,,,
852,Ally_wounded12_healed,TRUE,Ally_wounded12,Ally_wounded12_healed,,,,,Set:Ally_wounded12 post,,,,,,,
853,Ally_wounded13_healed,TRUE,Ally_wounded13,Ally_wounded13_healed,,,,,Set:Ally_wounded13 post,,,,,,,
854,Ally_wounded14_healed,TRUE,Ally_wounded14,Ally_wounded14_healed,,,,,Set:Ally_wounded14 post,,,,,,,
855,Ally_wounded1 post,TRUE,Ally_wounded1,Ally_wounded1 post,,,,,Event:Ally_wounded1_cue,,,,,,,
856,Ally_wounded2 post,TRUE,Ally_wounded2,Ally_wounded2 post,,,,,Event:Ally_wounded2_cue,,,,,,,
857,Ally_wounded3 post,TRUE,Ally_wounded3,Ally_wounded3 post,,,,,Event:Ally_wounded3_cue,,,,,,,
858,Ally_wounded4 post,TRUE,Ally_wounded4,Ally_wounded4 post,,,,,Event:Ally_wounded4_cue,,,,,,,
859,Ally_wounded5 post,TRUE,Ally_wounded5,Ally_wounded5 post,,,,,Event:Ally_wounded5_cue,,,,,,,
860,Ally_wounded6 post,TRUE,Ally_wounded6,Ally_wounded6 post,,,,,Event:Ally_wounded6_cue,,,,,,,
861,Ally_wounded7 post,TRUE,Ally_wounded7,Ally_wounded7 post,,,,,Event:Ally_wounded7_cue,,,,,,,
862,Ally_wounded8 post,TRUE,Ally_wounded8,Ally_wounded8 post,,,,,Event:Ally_wounded8_cue,,,,,,,
863,Ally_wounded9 post,TRUE,Ally_wounded9,Ally_wounded9 post,,,,,Event:Ally_wounded9_cue,,,,,,,
864,Ally_wounded10 post,TRUE,Ally_wounded10,Ally_wounded10 post,,,,,Event:Ally_wounded10_cue,,,,,,,
865,Ally_wounded11 post,TRUE,Ally_wounded11,Ally_wounded11 post,,,,,Event:Ally_wounded11_cue,,,,,,,
866,Ally_wounded12 post,TRUE,Ally_wounded12,Ally_wounded12 post,,,,,Event:Ally_wounded12_cue,,,,,,,
867,Ally_wounded13 post,TRUE,Ally_wounded13,Ally_wounded13 post,,,,,Event:Ally_wounded13_cue,,,,,,,
868,Ally_wounded14 post,TRUE,Ally_wounded14,Ally_wounded14 post,,,,,Event:Ally_wounded14_cue,,,,,,,
869,Ally_wounded1_hide,TRUE,Tutorial,Ally_wounded1_hide,,,,,Event:Ally_wounded1_cue_destroy,Event:Ally_wounded12,,,,,,
870,Ally_wounded2_hide,TRUE,Tutorial,Ally_wounded2_hide,,,,,Event:Ally_wounded2_cue_destroy,,,,,,,
871,Ally_wounded3_hide,TRUE,Tutorial,Ally_wounded3_hide,,,,,Event:Ally_wounded3_cue_destroy,Event:Ally_wounded34,,,,,,
872,Ally_wounded4_hide,TRUE,Tutorial,Ally_wounded4_hide,,,,,Event:Ally_wounded4_cue_destroy,,,,,,,
873,Ally_wounded5_hide,TRUE,Tutorial,Ally_wounded5_hide,,,,,Event:Ally_wounded5_cue_destroy,Event:Ally_wounded56,,,,,,
874,Ally_wounded6_hide,TRUE,Tutorial,Ally_wounded6_hide,,,,,Event:Ally_wounded6_cue_destroy,,,,,,,
